molecule_chembl_id,canonical_smiles,standard_value
CHEMBL341029,O=C1NCc2nc(Sc3c(Cl)cccc3Cl)ccc2N1c1c(Cl)cccc1Cl,49.0
CHEMBL129775,CC(=O)c1cc(Cl)c(N2C(=O)NCc3nc(Sc4ccc(F)cc4)ccc32)c(Cl)c1,16.0
CHEMBL131176,O=C1NCc2nc(Sc3ccccc3)ccc2N1c1c(Cl)cccc1Cl,270.0
CHEMBL95206,CC(C)N1CCC(n2cnc(-c3ccc(F)cc3)c2-c2ccnc(N)n2)CC1,170.0
CHEMBL329447,CNc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCN(C)CC2)n1,100.0
CHEMBL97451,Nc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCS(=O)(=O)CC2)n1,390.0
CHEMBL95931,CCOC(=O)N1CCC(n2cnc(-c3ccc(F)cc3)c2-c2ccnc(N)n2)CC1,33.0
CHEMBL95692,COc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCNCC2)n1,19.0
CHEMBL330196,Nc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCOCC2)n1,230.0
CHEMBL329469,CN1CCC(n2cnc(-c3ccc(F)cc3)c2-c2ccnc(Nc3ccncc3)n2)CC1,610.0
CHEMBL319716,CNc1nccc(-c2c(-c3ccc(F)cc3)ncn2[C@H]2CC[C@H](O)CC2)n1,18.0
CHEMBL419149,CNc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCNCC2)n1,27.0
CHEMBL408876,O[C@H]1CC[C@H](n2cnc(-c3ccc(F)cc3)c2-c2ccnc(Nc3ccccc3)n2)CC1,1.5
CHEMBL274863,Nc1nccc(-c2c(-c3ccc(F)cc3)ncn2CCCN2CCOCC2)n1,480.0
CHEMBL95365,CN1CCC(n2cnc(-c3ccc(F)cc3)c2-c2ccnc(NCc3ccccc3)n2)CC1,45.0
CHEMBL329080,O[C@H]1CC[C@H](n2cnc(-c3ccc(F)cc3)c2-c2ccnc(Oc3ccccc3)n2)CC1,12.0
CHEMBL318892,CN1CCC(n2cnc(-c3ccc(F)cc3)c2-c2ccnc(Nc3ccccc3)n2)CC1,3.0
CHEMBL95521,Nc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCN(CC(F)(F)F)CC2)n1,42.0
CHEMBL97550,Fc1ccc(-c2ncn(C3CCNCC3)c2-c2ccnc(Nc3ccccc3)n2)cc1,1.4
CHEMBL319988,Nc1nccc(-c2c(-c3ccc(F)cc3)ncn2[C@H]2CC[C@H](O)CC2)n1,83.0
CHEMBL329049,Nc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCN(Cc3ccccc3)CC2)n1,8.5
CHEMBL274064,Nc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCNCC2)n1,20.0
CHEMBL95207,CN1CCC(n2cnc(-c3ccc(F)cc3)c2-c2ccnc(N)n2)CC1,86.0
CHEMBL330422,CN1CCC(n2cnc(-c3ccc(F)cc3)c2-c2ccnc(NCCO)n2)CC1,53.0
CHEMBL97162,COc1nccc(-c2c(-c3ccc(F)cc3)ncn2[C@H]2CC[C@H](O)CC2)n1,34.0
CHEMBL316917,CC(C)n1cnc(-c2ccc(F)cc2)c1-c1ccnc(N)n1,170.0
CHEMBL275798,Fc1ccc(-c2ncn(C3CCNCC3)c2-c2ccnc(Oc3ccccc3)n2)cc1,20.0
CHEMBL97604,Nc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCC(=O)CC2)n1,160.0
CHEMBL95797,CC(C)Oc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCNCC2)n1,53.0
CHEMBL95502,CC1(C)CC(n2cnc(-c3ccc(F)cc3)c2-c2ccnc(N)n2)CC(C)(C)N1,58.0
CHEMBL420081,CCNc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCN(C)CC2)n1,9.6
CHEMBL327949,CCOc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCNCC2)n1,79.0
CHEMBL152596,Nc1ccccc1Nc1ccc(C(=O)c2ccccc2)cc1,145.0
CHEMBL356455,COc1ccccc1C(=O)c1ccc(Nc2ccccc2N)cc1Cl,5.0
CHEMBL152403,C=C(c1ccccc1C)c1ccc(Nc2ccccc2N)cc1Cl,1550.0
CHEMBL347576,Cc1ccccc1C(=O)c1ccc(Nc2ccccc2[N+](=O)[O-])cc1Cl,437.0
CHEMBL152209,Cc1cccc(C(=O)c2ccc(Nc3ccccc3N)cc2)c1,574.0
