molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value,,Standard_1,,,
CHEMBL95365,CN1CCC(n2cnc(-c3ccc(F)cc3)c2-c2ccnc(NCc3ccccc3)n2)CC1,active,45,,184,CHEMBL1092906,CC(C)(CO)N1CCC(c2[nH]nc(-c3ccc(Cl)cc3)c2-c2ccncn2)CC1,active
CHEMBL329080,O[C@H]1CC[C@H](n2cnc(-c3ccc(F)cc3)c2-c2ccnc(Oc3ccccc3)n2)CC1,active,12,,88,CHEMBL1092907,CC(C)(O)CN1CCC(c2[nH]nc(-c3ccc(Cl)cc3)c2-c2ccncn2)CC1,active
CHEMBL318892,CN1CCC(n2cnc(-c3ccc(F)cc3)c2-c2ccnc(Nc3ccccc3)n2)CC1,active,3,,31,CHEMBL1092001,Clc1ccc(-c2n[nH]c(C3CCN(C4CCOC4)CC3)c2-c2ccncn2)cc1,active
CHEMBL95521,Nc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCN(CC(F)(F)F)CC2)n1,active,42,,205,CHEMBL1092648,Clc1ccc(-c2n[nH]c(C3CCN(C4CCOCC4)CC3)c2-c2ccncn2)cc1,active
CHEMBL97550,Fc1ccc(-c2ncn(C3CCNCC3)c2-c2ccnc(Nc3ccccc3)n2)cc1,active,1.4,,19,CHEMBL1089172,O[C@H]1CCC[C@@H]1N1CCC(c2[nH]nc(-c3ccc(Cl)cc3)c2-c2ccncn2)CC1,active
CHEMBL319988,Nc1nccc(-c2c(-c3ccc(F)cc3)ncn2[C@H]2CC[C@H](O)CC2)n1,active,83,,47,CHEMBL1093301,Clc1ccc(-c2n[nH]c(C3CCN(Cc4ccncc4)CC3)c2-c2ccncn2)cc1,active
CHEMBL329049,Nc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCN(Cc3ccccc3)CC2)n1,active,8.5,,152,CHEMBL1089173,CC(=O)N1CCC(c2[nH]nc(-c3ccc(Cl)cc3)c2-c2ccncn2)CC1,active
CHEMBL274064,Nc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCNCC2)n1,active,20,,110,CHEMBL1090173,O=C(CO)N1CCC(c2n[nH]c(-c3ccc(Cl)cc3)c2-c2ccncn2)CC1,active
CHEMBL95207,CN1CCC(n2cnc(-c3ccc(F)cc3)c2-c2ccnc(N)n2)CC1,active,86,,94,CHEMBL1090174,COCC(=O)N1CCC(c2[nH]nc(-c3ccc(Cl)cc3)c2-c2ccncn2)CC1,active
CHEMBL330422,CN1CCC(n2cnc(-c3ccc(F)cc3)c2-c2ccnc(NCCO)n2)CC1,active,53,,88,CHEMBL1091912,CN(C)C(=O)N1CCC(c2[nH]nc(-c3ccc(Cl)cc3)c2-c2ccncn2)CC1,active
CHEMBL97162,COc1nccc(-c2c(-c3ccc(F)cc3)ncn2[C@H]2CC[C@H](O)CC2)n1,active,34,,198,CHEMBL1088914,CS(=O)(=O)N1CCC(c2[nH]nc(-c3ccc(Cl)cc3)c2-c2ccncn2)CC1,active
CHEMBL316917,CC(C)n1cnc(-c2ccc(F)cc2)c1-c1ccnc(N)n1,active,170,,82,CHEMBL1092901,CC(=O)N1CCC(c2[nH]nc(-c3ccc(F)cc3)c2-c2ccncc2)CC1,active
CHEMBL275798,Fc1ccc(-c2ncn(C3CCNCC3)c2-c2ccnc(Oc3ccccc3)n2)cc1,active,20,,46,CHEMBL199247,O=C(NCCCn1cnc(-c2ccc(F)cc2)c1-c1ccncc1)c1ccccc1,active
CHEMBL97604,Nc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCC(=O)CC2)n1,active,160,,54,CHEMBL1094013,CCCNc1nccc(-c2c(-c3ccc(F)cc3)nc3n2[C@H](Cc2ccc(OC)cc2)CC3)n1,active
CHEMBL95797,CC(C)Oc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCNCC2)n1,active,53,,903,CHEMBL1092764,CN(C)CCCC(=O)Nc1cc(C(=O)O)cc(-c2n[nH]c3cc(Nc4ccccc4Cl)ccc23)c1,active
CHEMBL95502,CC1(C)CC(n2cnc(-c3ccc(F)cc3)c2-c2ccnc(N)n2)CC(C)(C)N1,active,58,,50,CHEMBL1092754,Cn1cc(/C=C2\Oc3cccc(O)c3C2=O)c2c(-c3ccc(C(=O)NCCO)cc3)ccnc21,active
CHEMBL420081,CCNc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCN(C)CC2)n1,active,9.6,,14,CHEMBL1090089,Cn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(NC(CCO)CCO)nc21,active
CHEMBL327949,CCOc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCNCC2)n1,active,79,,4.5,CHEMBL1088750,CC(C)Cn1ncc2cc(Oc3ccc(F)cc3F)c(C(=O)NCCN(C)C)cc21,active
