,molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
209,CHEMBL278506,COC(=O)c1sc(C(C)(C)C)cc1NC(=O)Nc1cccc(Cl)c1Cl,active,180.0
210,CHEMBL18743,COC(=O)c1[nH]c(C(C)(C)C)cc1NC(=O)Nc1ccc(Cl)cc1,active,43.0
211,CHEMBL18103,CNC(=O)c1[nH]c(C(C)(C)C)cc1NC(=O)Nc1cccc2ccccc12,active,28.0
212,CHEMBL279342,COC(=O)c1c(NC(=O)Nc2ccccc2)cc(C(C)(C)C)n1C,active,947.0
213,CHEMBL19086,Cc1ccc(NC(=O)Nc2cc(C(C)(C)C)sc2C(=O)OC(C)C)cc1,active,741.0
214,CHEMBL18942,COC(=O)c1sc(C(C)(C)C)cc1NC(=O)Nc1ccc(N)cc1,active,750.0
215,CHEMBL19057,COC(=O)c1c(NC(=O)Nc2cccc(Cl)c2Cl)cc(C(C)(C)C)n1C,active,387.0
216,CHEMBL18752,CCc1ccc(NC(=O)Nc2cc(C(C)(C)C)sc2C(=O)NC)cc1,active,119.0
217,CHEMBL18763,CCc1ccc(NC(=O)Nc2cc(C(C)(C)C)sc2C(=O)OC)cc1,active,660.0
218,CHEMBL18286,COC(=O)c1oc(C(C)(C)C)cc1NC(=O)Nc1ccc(F)cc1,active,210.0
219,CHEMBL278719,COC(=O)c1oc(C(C)(C)C)cc1NC(=O)Nc1ccc(C)cc1,active,73.0
220,CHEMBL18764,COC(=O)c1[nH]c(C(C)(C)C)cc1NC(=O)Nc1ccc(C)cc1,active,33.0
221,CHEMBL18525,COC(=O)c1oc(C(C)(C)C)cc1NC(=O)Nc1cccc(Cl)c1Cl,active,32.0
223,CHEMBL278924,COC(=O)c1[nH]c(C(C)(C)C)cc1NC(=O)Nc1cccc2ccccc12,active,12.0
