,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
78,CHEMBL95206,CC(C)N1CCC(n2cnc(-c3ccc(F)cc3)c2-c2ccnc(N)n2)CC1,active,380.4710000000002,3.7737000000000016,1.0,6.0,6.769551078621726
79,CHEMBL329447,CNc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCN(C)CC2)n1,active,366.4440000000002,3.454600000000002,1.0,6.0,7.0
80,CHEMBL97451,Nc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCS(=O)(=O)CC2)n1,active,387.4400000000002,2.4781000000000004,1.0,7.0,6.4089353929735005
81,CHEMBL95931,CCOC(=O)N1CCC(n2cnc(-c3ccc(F)cc3)c2-c2ccnc(N)n2)CC1,active,410.4530000000002,3.5218000000000016,1.0,7.0,7.481486060122112
82,CHEMBL95692,COc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCNCC2)n1,active,353.4010000000002,3.079300000000001,1.0,6.0,7.721246399047171
83,CHEMBL330196,Nc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCOCC2)n1,active,339.3740000000002,3.079900000000001,1.0,6.0,6.638272163982407
84,CHEMBL329469,CN1CCC(n2cnc(-c3ccc(F)cc3)c2-c2ccnc(Nc3ccncc3)n2)CC1,active,429.50300000000016,4.5515000000000025,1.0,7.0,6.214670164989233
85,CHEMBL319716,CNc1nccc(-c2c(-c3ccc(F)cc3)ncn2[C@H]2CC[C@H](O)CC2)n1,active,367.42800000000017,3.6639000000000017,2.0,6.0,7.7447274948966935
86,CHEMBL419149,CNc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCNCC2)n1,active,352.41700000000014,3.112400000000001,2.0,6.0,7.568636235841013
87,CHEMBL408876,O[C@H]1CC[C@H](n2cnc(-c3ccc(F)cc3)c2-c2ccnc(Nc3ccccc3)n2)CC1,active,429.49900000000014,5.365800000000005,2.0,6.0,8.823908740944319
88,CHEMBL274863,Nc1nccc(-c2c(-c3ccc(F)cc3)ncn2CCCN2CCOCC2)n1,active,382.44300000000027,2.4507000000000003,1.0,7.0,6.318758762624412
89,CHEMBL95365,CN1CCC(n2cnc(-c3ccc(F)cc3)c2-c2ccnc(NCc3ccccc3)n2)CC1,active,442.5420000000002,5.025000000000004,1.0,6.0,7.346787486224656
90,CHEMBL329080,O[C@H]1CC[C@H](n2cnc(-c3ccc(F)cc3)c2-c2ccnc(Oc3ccccc3)n2)CC1,active,430.4830000000002,5.414500000000005,1.0,6.0,7.920818753952375
91,CHEMBL318892,CN1CCC(n2cnc(-c3ccc(F)cc3)c2-c2ccnc(Nc3ccccc3)n2)CC1,active,428.51500000000016,5.156500000000005,1.0,6.0,8.522878745280337
92,CHEMBL95521,Nc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCN(CC(F)(F)F)CC2)n1,active,420.4140000000002,3.9276000000000026,1.0,6.0,7.376750709602099
93,CHEMBL97550,Fc1ccc(-c2ncn(C3CCNCC3)c2-c2ccnc(Nc3ccccc3)n2)cc1,active,414.48800000000006,4.814300000000003,2.0,6.0,8.853871964321762
94,CHEMBL319988,Nc1nccc(-c2c(-c3ccc(F)cc3)ncn2[C@H]2CC[C@H](O)CC2)n1,active,353.4010000000002,3.2044000000000015,2.0,6.0,7.080921907623926
95,CHEMBL329049,Nc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCN(Cc3ccccc3)CC2)n1,active,428.51500000000027,4.565500000000004,1.0,6.0,8.070581074285707
96,CHEMBL274064,Nc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCNCC2)n1,active,338.39000000000016,2.6529000000000007,2.0,6.0,7.698970004336019
97,CHEMBL95207,CN1CCC(n2cnc(-c3ccc(F)cc3)c2-c2ccnc(N)n2)CC1,active,352.41700000000014,2.9951000000000008,1.0,6.0,7.0655015487564325
98,CHEMBL330422,CN1CCC(n2cnc(-c3ccc(F)cc3)c2-c2ccnc(NCCO)n2)CC1,active,396.4700000000002,2.817100000000001,2.0,7.0,7.275724130399211
99,CHEMBL97162,COc1nccc(-c2c(-c3ccc(F)cc3)ncn2[C@H]2CC[C@H](O)CC2)n1,active,368.4120000000002,3.6308000000000016,1.0,6.0,7.468521082957745
100,CHEMBL316917,CC(C)n1cnc(-c2ccc(F)cc2)c1-c1ccnc(N)n1,active,297.33700000000005,3.3093000000000012,1.0,5.0,6.769551078621726
101,CHEMBL275798,Fc1ccc(-c2ncn(C3CCNCC3)c2-c2ccnc(Oc3ccccc3)n2)cc1,active,415.4720000000001,4.863000000000004,1.0,6.0,7.698970004336019
102,CHEMBL97604,Nc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCC(=O)CC2)n1,active,351.3850000000002,3.412600000000002,1.0,6.0,6.795880017344075
103,CHEMBL95797,CC(C)Oc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCNCC2)n1,active,381.45500000000015,3.8579000000000025,1.0,6.0,7.275724130399211
104,CHEMBL95502,CC1(C)CC(n2cnc(-c3ccc(F)cc3)c2-c2ccnc(N)n2)CC(C)(C)N1,active,394.49800000000016,4.210100000000002,2.0,6.0,7.236572006437063
105,CHEMBL420081,CCNc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCN(C)CC2)n1,active,380.4710000000002,3.8447000000000022,1.0,6.0,8.017728766960431
106,CHEMBL327949,CCOc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCNCC2)n1,active,367.42800000000017,3.469400000000002,1.0,6.0,7.102372908709558
107,CHEMBL152596,Nc1ccccc1Nc1ccc(C(=O)c2ccccc2)cc1,active,288.35,4.243400000000002,2.0,3.0,6.838631997765025
108,CHEMBL356455,COc1ccccc1C(=O)c1ccc(Nc2ccccc2N)cc1Cl,active,352.821,4.905400000000003,2.0,4.0,8.301029995663981
110,CHEMBL347576,Cc1ccccc1C(=O)c1ccc(Nc2ccccc2[N+](=O)[O-])cc1Cl,active,366.8040000000001,5.531220000000004,1.0,4.0,6.359518563029578
111,CHEMBL152209,Cc1cccc(C(=O)c2ccc(Nc3ccccc3N)cc2)c1,active,302.37700000000007,4.551820000000002,2.0,3.0,6.241088107602026
112,CHEMBL155567,Cc1ccccc1C(=O)c1ccc(Nc2ccccc2)cc1Cl,active,321.807,5.623020000000004,1.0,2.0,8.154901959985743
113,CHEMBL153795,Cc1ccccc1Cc1ccc(Nc2ccc(F)cc2N)cc1Cl,inactive,340.82900000000006,5.704120000000003,2.0,2.0,4.0
114,CHEMBL153265,Cc1ccccc1Nc1ccc(C(=O)c2ccccc2C)c(Cl)c1,active,335.83400000000006,5.931440000000004,1.0,2.0,7.920818753952375
