"","pIC50","SubFPC1","SubFPC2","SubFPC3","SubFPC4","SubFPC16","SubFPC18","SubFPC19","SubFPC23","SubFPC28","SubFPC49","SubFPC96","SubFPC100","SubFPC135","SubFPC137","SubFPC143","SubFPC171","SubFPC172","SubFPC179","SubFPC180","SubFPC181","SubFPC182","SubFPC183","SubFPC274","SubFPC280","SubFPC294","SubFPC295","SubFPC301","SubFPC302"
"79",6.76955107862173,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,3,0,0,17,0,0,14,10,2
"80",7,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,3,0,0,17,0,0,13,11,2
"81",6.4089353929735,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,3,0,0,17,0,0,12,8,1
"82",7.48148606012211,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,3,0,0,17,0,0,16,10,4
"83",7.72124639904717,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,3,0,0,17,0,0,12,8,1
"84",6.63827216398241,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,17,0,0,13,8,2
"85",6.21467016498923,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,4,0,0,23,0,0,16,10,3
"86",7.74472749489669,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,17,0,0,12,10,2
"87",7.56863623584101,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,17,0,0,13,9,2
"88",8.82390874094432,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,23,0,0,12,10,3
"89",6.31875876262441,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,3,0,0,17,0,0,15,11,4
"90",7.34678748622466,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,3,0,0,23,0,0,14,11,4
"91",7.92081875395237,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,23,0,0,12,8,3
"92",8.52287874528034,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,3,0,0,23,0,0,14,10,3
"93",7.3767507096021,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,3,0,0,17,0,1,13,10,3
"94",8.85387196432176,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,23,0,0,13,9,3
"95",7.08092190762393,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,3,0,0,17,0,0,11,9,1
"96",8.07058107428571,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,3,0,0,23,0,0,13,10,3
"97",7.69897000433602,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,3,0,0,17,0,0,12,8,1
"98",7.06550154875643,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,3,0,0,17,0,0,13,9,1
"99",7.27572413039921,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,3,0,0,17,0,0,15,12,4
"100",7.46852108295774,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,17,0,0,12,9,2
"101",6.76955107862173,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,3,0,0,17,0,0,10,4,1
"102",7.69897000433602,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,23,0,0,13,7,3
"103",6.79588001734408,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,3,0,0,17,0,0,11,8,1
"104",7.27572413039921,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,17,0,0,13,10,3
"105",7.23657200643706,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,3,0,0,17,0,0,12,12,1
"106",8.01772876696043,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,3,0,0,17,0,0,14,11,3
"107",7.10237290870956,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,18,0,0,4,3,4
"108",6.83863199776502,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,17,0,0,13,9,3
"109",8.30102999566398,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,18,0,0,3,4,4
"110",5.80966830182971,0,0,0,0,0,1,0,0,1,1,0,0,2,4,0,1,0,0,0,0,0,0,18,0,0,6,4,5
"111",6.35951856302958,1,0,0,0,0,0,0,0,0,1,0,0,1,5,0,1,0,0,0,0,0,0,18,0,0,4,3,5
"112",6.24108810760203,1,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,18,0,0,4,4,4
"113",8.15490195998574,1,0,0,0,0,0,0,0,0,1,0,0,1,5,0,1,0,0,0,0,0,0,18,0,0,3,3,4
"114",4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,18,0,0,3,6,4
"115",7.92081875395237,1,0,0,0,0,0,0,0,1,1,0,0,0,5,0,0,0,0,0,0,0,0,18,0,0,4,4,4
"116",7.53760200210104,2,0,0,0,0,0,0,0,0,1,0,0,1,5,0,1,0,0,0,0,0,0,18,0,0,3,4,4
"117",6.84466396253494,2,0,0,0,0,0,0,0,1,1,0,0,0,5,0,0,0,0,0,0,0,0,18,0,0,4,5,4
"118",8.39794000867204,2,0,0,0,0,0,0,0,0,1,0,0,1,5,0,1,1,0,0,0,0,0,18,0,0,3,4,4
"119",7.4089353929735,1,0,0,0,0,0,0,0,1,1,0,0,1,5,0,1,0,0,0,0,0,0,18,0,0,4,4,4
"120",7.42021640338319,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,17,0,0,9,7,1
