,hv,std.error,Label,,,,,,,,,,
196,0.000457629,0.230571523,Internal,,,,,,,,,,
197,0.000692676,0.163297615,Internal,,,,,,,,,,
198,0.000636735,0.582409076,Internal,,,,,,,,,,
199,0.000520273,0.527881086,Internal,,,,,,,,,,
200,0.000769232,-0.499450043,Internal,,,,,,,,,,
201,0.000618665,0.8810387,Internal,,,,,,,,,,
202,0.000576871,0.758521152,Internal,,,,,,,,,,
203,0.000478765,-0.059476455,Internal,,,,,,,,,,
204,0.000652562,0.165358906,Internal,,,,,,,,,,
205,0.000834837,-0.388701517,Internal,,,,,,,,,,
206,0.003001782,-1.45736354,Internal,,,,,,,,,,
207,0.000928653,-0.276663529,Internal,,,,,,,,,,
208,0.000834837,0.090030887,Internal,,,,,,,,,,
209,0.002898936,3.104195811,Internal,,,,,,,,,,
210,0.000651527,-1.289686326,Internal,,,,,,,,,,
211,0.000868956,0.815362218,Internal,,,,,,,,,,
212,0.000585926,0.267833032,Internal,,,,,,,,,,
213,0.000774914,-0.441627189,Internal,,,,,,,,,,
214,0.000533219,0.129884499,Internal,,,,,,,,,,
215,0.000459098,0.215156837,Internal,,,,,,,,,,
216,0.000549002,-0.009955902,Internal,,,,,,,,,,
217,0.001697867,0.414408982,Internal,,,,,,,,,,
218,0.000682144,0.136706673,Internal,,,,,,,,,,
219,0.000461482,-0.295650329,Internal,,,,,,,,,,
220,0.000570245,0.701109055,Internal,,,,,,,,,,
221,0.002321696,-1.226577825,Internal,,,,,,,,,,
222,0.000572297,-0.607718946,Internal,,,,,,,,,,
223,0.001018554,0.472665881,Internal,,,,,,,,,,
224,0.002272536,1.128107749,Internal,,,,,,,,,,
225,0.000769232,-1.164624538,Internal,,,,,,,,,,
226,0.000769232,0.038191334,Internal,,,,,,,,,,
227,0.000492394,-0.285855819,Internal,,,,,,,,,,
228,0.000786797,-0.386088411,Internal,,,,,,,,,,
229,0.000587558,-0.505884137,Internal,,,,,,,,,,
230,0.000499645,-0.708674035,Internal,,,,,,,,,,
231,0.001078545,-2.112576441,Internal,,,,,,,,,,
232,0.001260439,-0.559378746,Internal,,,,,,,,,,
233,0.000467389,0.368582678,Internal,,,,,,,,,,
234,0.000699537,1.845218314,Internal,,,,,,,,,,
235,0.000461482,-0.035566977,Internal,,,,,,,,,,
236,0.000526255,0.27940155,Internal,,,,,,,,,,
237,0.000489127,-0.459402049,Internal,,,,,,,,,,
238,0.001080394,-0.060349285,Internal,,,,,,,,,,
239,0.000587558,-0.245553554,Internal,,,,,,,,,,
240,0.002098455,-2.672867157,Internal,,,,,,,,,,
241,0.000459488,0.913843521,Internal,,,,,,,,,,
242,0.000486033,0.158246232,Internal,,,,,,,,,,
243,0.002216646,0.80026919,Internal,,,,,,,,,,
244,0.000587558,-0.354440243,Internal,,,,,,,,,,
245,0.000668709,-0.168203464,Internal,,,,,,,,,,
246,0.000651527,-1.007074996,Internal,,,,,,,,,,
247,0.000520737,-0.217100743,Internal,,,,,,,,,,
248,0.001078545,-0.583512401,Internal,,,,,,,,,,
249,0.000824721,0.719905567,Internal,,,,,,,,,,
250,0.000483262,0.037840668,Internal,,,,,,,,,,
251,0.001245652,0.640365091,Internal,,,,,,,,,,
252,0.000460606,0.613593825,Internal,,,,,,,,,,
253,0.002146402,-1.018099789,Internal,,,,,,,,,,
254,0.000459696,0.283313783,Internal,,,,,,,,,,
